y,x,R,G,B
324,619,0,0,0
324,620,0,0,0
324,621,0,0,0
324,622,0,0,0
324,623,0,0,0
324,624,0,0,0
324,625,0,0,0
324,626,0,0,0
324,627,0,0,0
324,628,0,0,0
324,629,0,0,0
324,630,0,0,0
324,631,0,0,0
324,632,0,0,0
324,633,0,0,0
324,634,0,0,0
324,635,0,0,0
324,636,0,0,0
324,637,0,0,0
324,638,0,0,0
324,639,0,0,0
324,640,0,2,0
324,641,0,2,0
324,642,0,2,0
324,643,0,2,0
324,644,0,2,0
324,645,0,2,0
324,646,0,2,0
324,647,0,2,0
324,648,0,2,0
324,649,0,2,0
324,650,0,2,0
324,651,0,2,0
324,652,0,2,0
324,653,0,2,0
324,654,0,2,0
324,655,0,2,0
324,656,0,3,0
324,657,0,3,0
324,658,0,3,0
324,659,0,3,0
324,660,0,3,0
324,661,0,3,0
324,662,0,3,0
324,663,0,3,0
324,664,0,2,0
324,665,0,2,0
324,666,0,2,0
324,667,0,2,0
324,668,0,2,0
324,669,0,2,0
324,670,0,2,0
324,671,0,2,0
324,672,0,3,0
324,673,0,3,0
324,674,0,3,0
324,675,0,3,0
324,676,0,3,0
324,677,0,3,0
324,678,0,3,0
324,679,0,3,0
324,680,0,3,0
324,681,0,3,0
324,682,0,3,0
324,683,0,3,0
324,684,0,3,0
324,685,0,3,0
324,686,0,3,0
324,687,0,3,0
324,688,0,0,0
324,689,0,0,0
324,690,0,0,0
324,691,0,0,0
324,692,0,0,0
324,693,0,0,0
324,694,0,0,0
324,695,0,0,0
324,696,0,0,0
324,697,0,0,0
324,698,0,0,0
324,699,0,0,0
324,700,0,0,0
324,701,0,0,0
324,702,0,0,0
324,703,0,0,0
324,704,0,3,0
324,705,0,3,0
324,706,0,3,0
324,707,0,3,0
324,708,0,3,0
324,709,0,3,0
324,710,0,3,0
324,711,0,3,0
324,712,0,3,0
324,713,0,3,0
324,714,0,3,0
324,715,0,3,0
324,716,0,3,0
324,717,0,3,0
324,718,0,3,0
324,719,0,3,0
324,720,0,0,0
324,721,0,0,0
324,722,0,0,0
324,723,0,0,0
324,724,0,0,0
324,725,0,0,0
324,726,0,0,0
324,727,0,0,0
324,728,0,0,0
324,729,0,0,0
324,730,0,0,0
324,731,0,0,0
324,732,0,0,0
324,733,0,0,0
324,734,0,0,0
324,735,0,0,0
324,736,0,1,0
324,737,0,1,0
324,738,0,1,0
324,739,0,1,0
324,740,0,1,0
324,741,0,1,0
324,742,0,1,0
324,743,0,1,0
324,744,0,1,0
324,745,0,1,0
324,746,0,1,0
324,747,0,1,0
324,748,0,1,0
324,749,0,1,0
324,750,0,1,0
324,751,0,1,0
324,752,0,1,0
324,753,0,1,0
324,754,0,1,0
324,755,0,1,0
324,756,0,1,0
324,757,0,1,0
324,758,0,1,0
324,759,0,1,0
324,760,0,1,0
324,761,0,1,0
324,762,0,1,0
324,763,0,1,0
324,764,0,1,0
324,765,0,1,0
324,766,0,1,0
324,767,0,1,0
324,1152,0,0,0
324,1153,0,0,0
324,1154,0,0,0
324,1155,0,0,0
324,1156,0,0,0
324,1157,0,0,0
324,1158,0,0,0
324,1159,0,0,0
324,1160,0,0,0
324,1161,0,0,0
324,1162,0,0,0
324,1163,0,0,0
324,1164,0,0,0
324,1165,0,0,0
324,1166,0,0,0
324,1167,0,0,0
324,1168,0,1,1
324,1169,0,1,1
324,1170,0,1,1
324,1171,0,1,1
324,1172,0,1,1
324,1173,0,1,1
324,1174,0,1,1
324,1175,0,1,1
324,1176,0,1,1
324,1177,0,1,1
324,1178,0,1,1
324,1179,0,1,1
324,1180,0,1,1
324,1181,0,1,1
324,1182,0,1,1
324,1183,0,1,1
324,1184,0,1,0
324,1185,0,1,0
324,1186,0,1,0
324,1187,0,1,0
324,1188,0,1,0
324,1189,0,1,0
324,1190,0,1,0
324,1191,0,1,0
324,1192,0,0,0
324,1193,0,0,0
324,1194,0,0,0
324,1195,0,0,0
324,1196,0,0,0
324,1197,0,0,0
324,1198,0,0,0
324,1199,0,0,0
324,1200,0,0,0
324,1201,0,0,0
324,1202,0,0,0
324,1203,0,0,0
324,1204,0,0,0
324,1205,0,0,0
324,1206,0,0,0
324,1207,0,0,0
324,1208,0,0,0
324,1209,0,0,0
324,1210,0,0,0
324,1211,0,0,0
324,1212,0,0,0
324,1213,0,0,0
324,1214,0,0,0
324,1215,0,0,0
324,1216,0,1,0
324,1217,0,1,0
324,1218,0,1,0
324,1219,0,1,0
324,1220,0,1,0
324,1221,0,1,0
324,1222,0,1,0
324,1223,0,1,0
324,1224,0,0,0
324,1225,0,0,0
324,1226,0,0,0
324,1227,0,0,0
324,1228,0,0,0
324,1229,0,0,0
324,1230,0,0,0
324,1231,0,0,0
324,1232,0,0,0
324,1233,0,0,0
324,1234,0,0,0
324,1235,0,0,0
324,1236,0,0,0
324,1237,0,0,0
324,1238,0,0,0
324,1239,0,0,0
324,1240,0,0,0
324,1241,0,0,0
324,1242,0,0,0
324,1243,0,0,0
324,1244,0,0,0
324,1245,0,0,0
324,1246,0,0,0
324,1247,0,0,0
324,1248,0,1,0
324,1249,0,1,0
324,1250,0,1,0
324,1251,0,1,0
324,1252,0,1,0
324,1253,0,1,0
324,1254,0,1,0
324,1255,0,1,0
324,1256,0,2,0
324,1257,0,2,0
324,1258,0,2,0
324,1259,0,2,0
324,1260,0,2,0
324,1261,0,2,0
324,1262,0,2,0
324,1263,0,2,0
324,1264,0,0,0
324,1265,0,0,0
324,1266,0,0,0
324,1267,0,0,0
324,1268,0,0,0
324,1269,0,0,0
324,1270,0,0,0
324,1271,0,0,0
324,1272,0,0,0
324,1273,0,0,0
324,1274,0,0,0
324,1275,0,0,0
324,1276,0,0,0
324,1277,0,0,0
324,1278,0,0,0
324,1279,0,0,0
324,1280,0,0,0
324,1281,0,0,0
324,1282,0,0,0
324,1283,0,0,0
324,1284,0,0,0
324,1285,0,0,0
324,1286,0,0,0
324,1287,0,0,0
324,1288,0,0,0
324,1289,0,0,0
324,1290,0,0,0
324,1291,0,0,0
324,1292,0,0,0
324,1293,0,0,0
324,1294,0,0,0
324,1295,0,1,0
324,1296,0,0,0
324,1297,0,0,0
324,1298,0,0,0
324,1299,0,0,0
324,1300,0,1,0
324,1301,0,1,0
324,1302,0,1,0
324,1303,0,2,0
324,1304,0,2,0
324,1305,0,2,0
324,1306,0,2,0
324,1307,0,2,0
324,1308,0,2,0
324,1309,0,2,0
324,1310,0,2,1
324,1311,0,2,1
324,1312,0,2,1
324,1313,0,2,1
324,1314,0,2,1
324,1315,0,2,1
324,1316,0,2,1
324,1317,0,2,1
324,1318,0,1,0
324,1319,0,1,0
324,1320,0,1,0
324,1321,0,1,0
324,1322,0,1,0
324,1323,0,1,0
324,1324,0,1,0
324,1325,0,1,0
324,1326,0,2,0
324,1327,0,1,0
324,1328,0,2,0
324,1329,0,2,0
324,1330,0,2,0
324,1331,0,2,0
324,1332,0,2,0
324,1333,0,2,0
324,1334,0,2,0
324,1335,0,2,0
324,1336,0,0,0
324,1337,0,0,0
324,1338,0,0,0
324,1339,0,0,0
324,1340,0,0,0
324,1341,0,0,0
324,1342,0,0,0
324,1343,0,0,0
324,1344,0,1,0
324,1345,0,0,0
325,576,242,247,241
325,577,249,254,248
325,578,0,1,0
325,579,0,4,0
325,580,0,2,0
325,581,0,1,0
325,582,0,0,0
325,583,0,3,0
325,584,0,2,0
325,585,0,2,0
325,586,0,2,0
325,587,0,2,0
