x,y
1345,737
576,738
577,738
1345,738
576,739
577,739
1345,739
576,740
577,740
1345,740
576,741
577,741
1345,741
576,742
577,742
1345,742
576,743
577,743
1345,743
577,744
1345,744
577,745
1345,745
577,746
1345,746
577,747
1345,747
577,748
1345,748
577,749
1345,749
577,750
1345,750
577,751
1345,751
577,752
1344,752
1345,752
576,753
1344,753
1345,753
1344,754
1345,754
576,755
577,755
1344,755
1345,755
576,756
579,756
581,756
582,756
624,756
625,756
626,756
627,756
628,756
629,756
630,756
631,756
960,756
961,756
1248,756
1249,756
1250,756
1251,756
1252,756
1253,756
1254,756
1255,756
1256,756
1257,756
1258,756
1259,756
1260,756
1261,756
1262,756
1263,756
1264,756
1265,756
1266,756
1267,756
1268,756
1269,756
1270,756
1271,756
1272,756
1273,756
1274,756
1275,756
1276,756
1277,756
1278,756
1279,756
1280,756
1281,756
1282,756
1283,756
1284,756
1285,756
1286,756
1287,756
1288,756
1289,756
1290,756
1291,756
1292,756
1293,756
1294,756
1295,756
1296,756
1297,756
1298,756
1299,756
1300,756
1301,756
1302,756
1303,756
1304,756
1305,756
1306,756
1307,756
1308,756
1309,756
1310,756
1311,756
1312,756
1313,756
1314,756
1315,756
1316,756
1317,756
1318,756
1319,756
1320,756
1321,756
1322,756
1323,756
1324,756
1325,756
1326,756
1327,756
1328,756
1329,756
1330,756
1331,756
1332,756
1333,756
1334,756
1335,756
1336,756
1337,756
1338,756
1339,756
1340,756
1341,756
1342,756
1343,756
576,757
577,757
578,757
580,757
581,757
584,757
585,757
586,757
587,757
588,757
589,757
590,757
591,757
600,757
601,757
602,757
603,757
604,757
605,757
606,757
607,757
624,757
625,757
626,757
627,757
628,757
629,757
630,757
631,757
632,757
633,757
634,757
635,757
636,757
637,757
638,757
639,757
640,757
641,757
642,757
643,757
644,757
645,757
646,757
647,757
648,757
649,757
650,757
651,757
652,757
653,757
654,757
655,757
656,757
657,757
658,757
659,757
660,757
661,757
662,757
663,757
664,757
665,757
666,757
667,757
668,757
669,757
670,757
671,757
672,757
673,757
674,757
675,757
676,757
677,757
678,757
679,757
680,757
681,757
682,757
683,757
684,757
685,757
686,757
687,757
688,757
689,757
690,757
691,757
692,757
693,757
694,757
695,757
696,757
697,757
698,757
699,757
700,757
701,757
702,757
703,757
704,757
705,757
706,757
707,757
708,757
709,757
710,757
711,757
761,757
762,757
763,757
764,757
765,757
766,757
767,757
960,757
961,757
1152,757
1153,757
1154,757
1155,757
1156,757
1157,757
1158,757
1159,757
1160,757
1161,757
1162,757
1163,757
1164,757
1165,757
1166,757
1167,757
1168,757
1169,757
1170,757
1171,757
1172,757
1173,757
1174,757
1175,757
1176,757
1177,757
1178,757
1179,757
1180,757
1181,757
1182,757
1183,757
